SampleID	Individual	Day_Month_year	Month_Year	Season	Sequence	Tiger_season
#q2:types	categorical	categorical	categorical	categorical	numeric	categorical
M1	Majel	16-Nov-2014	Nov-2014	Fall	1	Majel_Fall
M2	Majel	24-Nov-2014	Nov-2014	Fall	1	Majel_Fall
M3	Majel	26-Nov-2014	Nov-2014	Fall	1	Majel_Fall
M4	Majel	12-Jul-2015	Jul-2015	Summer	4	Majel_Summer
M5	Majel	15-Jul-2015	Jul-2015	Summer	4	Majel_Summer
M6	Majel	24-Jul-2015	Jul-2015	Summer	4	Majel_Summer
M7	Majel	6-May-2015	May-2015	Spring	3	Majel_Spring
M8	Majel	13-May-2015	May-2015	Spring	3	Majel_Spring
M9	Majel	14-May-2015	May-2015	Spring	3	Majel_Spring
M10	Majel	21-Jan-2015	Jan-2015	Winter	2	Majel_Winter
M11	Majel	26-Jan-2015	Jan-2015	Winter	2	Majel_Winter
M12	Majel	30-Jan-2015	Jan-2015	Winter	2	Majel_Winter
D1	Delta	17-Jan-2015	Jan-2015	Winter	2	Delta_Winter
D2	Delta	24-Jan-2015	Jan-2015	Winter	2	Delta_Winter
D3	Delta	29-Jan-2015	Jan-2015	Winter	2	Delta_Winter
D4	Delta	2-May-2015	May-2015	Spring	3	Delta_Spring
D5	Delta	7-May-2015	May-2015	Spring	3	Delta_Spring
D6	Delta	14-May-2015	May-2015	Spring	3	Delta_Spring
D7	Delta	10-Nov-2014	Nov-2014	Fall	1	Delta_Fall
D8	Delta	13-Nov-2014	Nov-2014	Fall	1	Delta_Fall
D9	Delta	19-Nov-2014	Nov-2014	Fall	1	Delta_Fall
D10	Delta	13-Aug-2015	Aug-2015	Summer	4	Delta_Summer
D11	Delta	20-Aug-2015	Aug-2015	Summer	4	Delta_Summer
D12	Delta	22-Aug-2015	Aug-2015	Summer	4	Delta_Summer
J1	Joanne	18-Aug-2015	Aug-2015	Summer	4	Joanne_Summer
J2	Joanne	21-Aug-2015	Aug-2015	Summer	4	Joanne_Summer
J3	Joanne	28-Aug-2015	Aug-2015	Summer	4	Joanne_Summer
J4	Joanne	7-Jan-2015	Jan-2015	Winter	2	Joanne_Winter
J5	Joanne	8-Jan-2015	Jan-2015	Winter	2	Joanne_Winter
J6	Joanne	15-Jan-2015	Jan-2015	Winter	2	Joanne_Winter
J7	Joanne	26-Nov-2014	Nov-2014	Fall	1	Joanne_Fall
J8	Joanne	28-Nov-2014	Nov-2014	Fall	1	Joanne_Fall
J9	Joanne	30-Nov-2014	Nov-2014	Fall	1	Joanne_Fall
J10	Joanne	11-May-2015	May-2015	Spring	3	Joanne_Spring
J11	Joanne	12-May-2015	May-2015	Spring	3	Joanne_Spring
J12	Joanne	19-May-2015	May-2015	Spring	3	Joanne_Spring
C1	Conrad	10-Jan-2015	Jan-2015	Winter	2	Conrad_Winter
C2	Conrad	11-Jan-2015	Jan-2015	Winter	2	Conrad_Winter
C3	Conrad	13-Jan-2015	Jan-2015	Winter	2	Conrad_Winter
C4	Conrad	16-May-2015	May-2015	Spring	3	Conrad_Spring
C5	Conrad	22-May-2015	May-2015	Spring	3	Conrad_Spring
C6	Conrad	29-May-2015	May-2015	Spring	3	Conrad_Spring
C7	Conrad	15-Aug-2015	Aug-2015	Summer	4	Conrad_Summer
C8	Conrad	18-Aug-2015	Aug-2015	Summer	4	Conrad_Summer
C9	Conrad	22-Aug-2015	Aug-2015	Summer	4	Conrad_Summer
C10	Conrad	18-Nov-2014	Nov-2014	Fall	1	Conrad_Fall
C11	Conrad	26-Nov-2014	Nov-2014	Fall	1	Conrad_Fall
C12	Conrad	29-Nov-2014	Nov-2014	Fall	1	Conrad_Fall
T1	Teddy	15-Jan-2015	Jan-2015	Winter	2	Teddy_Winter
T2	Teddy	17-Jan-2015	Jan-2015	Winter	2	Teddy_Winter
T3	Teddy	21-Jan-2015	Jan-2015	Winter	2	Teddy_Winter
T4	Teddy	3-May-2015	May-2015	Spring	3	Teddy_Spring
T5	Teddy	8-May-2015	May-2015	Spring	3	Teddy_Spring
T6	Teddy	15-May-2015	May-2015	Spring	3	Teddy_Spring
T7	Teddy	17-Aug-2015	Aug-2015	Summer	4	Teddy_Summer
T8	Teddy	18-Aug-2015	Aug-2015	Summer	4	Teddy_Summer
T9	Teddy	23-Aug-2015	Aug-2015	Summer	4	Teddy_Summer
T10	Teddy	1-Nov-2014	Nov-2014	Fall	1	Teddy_Fall
T11	Teddy	7-Nov-2014	Nov-2014	Fall	1	Teddy_Fall
T12	Teddy	11-Nov-2014	Nov-2014	Fall	1	Teddy_Fall